== 2024-02-26 16:10:32.246380 == | ================启动Log================
== 2024-02-27 00:36:00.626979 writeLog== | k线完结,{'e': 'kline', 'E': 1708965360572, 's': 'ARPAUSDT', 'k': {'t': 1708965300000, 'T': 1708965359999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081433, 'L': 168081536, 'o': '0.06796', 'c': '0.06799', 'h': '0.06802', 'l': '0.06795', 'v': '89435', 'n': 104, 'x': True, 'q': '6079.12574', 'V': '52999', 'Q': '3602.86946', 'B': '0'}}
== 2024-02-27 00:37:01.841108 writeLog== | k线完结,{'e': 'kline', 'E': 1708965421803, 's': 'ARPAUSDT', 'k': {'t': 1708965360000, 'T': 1708965419999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081537, 'L': 168081630, 'o': '0.06800', 'c': '0.06805', 'h': '0.06809', 'l': '0.06800', 'v': '108579', 'n': 94, 'x': True, 'q': '7388.74476', 'V': '84620', 'Q': '5758.49271', 'B': '0'}}
== 2024-02-27 00:38:03.051037 writeLog== | k线完结,{'e': 'kline', 'E': 1708965483001, 's': 'ARPAUSDT', 'k': {'t': 1708965420000, 'T': 1708965479999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081631, 'L': 168081677, 'o': '0.06804', 'c': '0.06800', 'h': '0.06804', 'l': '0.06800', 'v': '34127', 'n': 47, 'x': True, 'q': '2321.60337', 'V': '13838', 'Q': '941.38891', 'B': '0'}}
== 2024-02-27 00:39:03.037236 writeLog== | k线完结,{'e': 'kline', 'E': 1708965543001, 's': 'ARPAUSDT', 'k': {'t': 1708965480000, 'T': 1708965539999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081678, 'L': 168081759, 'o': '0.06800', 'c': '0.06799', 'h': '0.06803', 'l': '0.06796', 'v': '80263', 'n': 82, 'x': True, 'q': '5458.02431', 'V': '42621', 'Q': '2898.40497', 'B': '0'}}
== 2024-02-27 00:40:01.441873 writeLog== | k线完结,{'e': 'kline', 'E': 1708965601386, 's': 'ARPAUSDT', 'k': {'t': 1708965540000, 'T': 1708965599999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081760, 'L': 168081798, 'o': '0.06800', 'c': '0.06809', 'h': '0.06809', 'l': '0.06800', 'v': '50755', 'n': 39, 'x': True, 'q': '3453.28090', 'V': '40823', 'Q': '2777.51073', 'B': '0'}}
== 2024-02-27 00:40:52.341177 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708965652340, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-27 00:41:01.730188 writeLog== | k线完结,{'e': 'kline', 'E': 1708965661690, 's': 'ARPAUSDT', 'k': {'t': 1708965600000, 'T': 1708965659999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081799, 'L': 168081939, 'o': '0.06808', 'c': '0.06819', 'h': '0.06823', 'l': '0.06807', 'v': '185334', 'n': 141, 'x': True, 'q': '12636.11283', 'V': '123241', 'Q': '8403.35135', 'B': '0'}}
== 2024-02-27 00:42:01.125999 writeLog== | k线完结,{'e': 'kline', 'E': 1708965721100, 's': 'ARPAUSDT', 'k': {'t': 1708965660000, 'T': 1708965719999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168081940, 'L': 168082016, 'o': '0.06819', 'c': '0.06832', 'h': '0.06833', 'l': '0.06818', 'v': '70677', 'n': 77, 'x': True, 'q': '4824.39842', 'V': '36543', 'Q': '2493.83853', 'B': '0'}}
== 2024-02-27 00:43:03.069837 writeLog== | k线完结,{'e': 'kline', 'E': 1708965783000, 's': 'ARPAUSDT', 'k': {'t': 1708965720000, 'T': 1708965779999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082017, 'L': 168082171, 'o': '0.06833', 'c': '0.06834', 'h': '0.06837', 'l': '0.06831', 'v': '234762', 'n': 155, 'x': True, 'q': '16046.32531', 'V': '101687', 'Q': '6950.91544', 'B': '0'}}
== 2024-02-27 00:43:55.104810 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708965835104, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-27 00:44:01.147485 writeLog== | k线完结,{'e': 'kline', 'E': 1708965841051, 's': 'ARPAUSDT', 'k': {'t': 1708965780000, 'T': 1708965839999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082172, 'L': 168082276, 'o': '0.06833', 'c': '0.06823', 'h': '0.06834', 'l': '0.06821', 'v': '70887', 'n': 105, 'x': True, 'q': '4840.56552', 'V': '27252', 'Q': '1861.25294', 'B': '0'}}
== 2024-02-27 00:45:02.429137 writeLog== | k线完结,{'e': 'kline', 'E': 1708965902367, 's': 'ARPAUSDT', 'k': {'t': 1708965840000, 'T': 1708965899999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082277, 'L': 168082359, 'o': '0.06825', 'c': '0.06831', 'h': '0.06832', 'l': '0.06825', 'v': '71771', 'n': 83, 'x': True, 'q': '4901.07019', 'V': '54705', 'Q': '3735.83458', 'B': '0'}}
== 2024-02-27 00:46:01.342975 writeLog== | k线完结,{'e': 'kline', 'E': 1708965961206, 's': 'ARPAUSDT', 'k': {'t': 1708965900000, 'T': 1708965959999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082360, 'L': 168082481, 'o': '0.06830', 'c': '0.06834', 'h': '0.06835', 'l': '0.06827', 'v': '119207', 'n': 122, 'x': True, 'q': '8143.34863', 'V': '61789', 'Q': '4221.32674', 'B': '0'}}
== 2024-02-27 00:47:03.031021 writeLog== | k线完结,{'e': 'kline', 'E': 1708966023001, 's': 'ARPAUSDT', 'k': {'t': 1708965960000, 'T': 1708966019999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082482, 'L': 168082536, 'o': '0.06833', 'c': '0.06831', 'h': '0.06833', 'l': '0.06827', 'v': '40814', 'n': 55, 'x': True, 'q': '2787.56200', 'V': '6622', 'Q': '452.25053', 'B': '0'}}
== 2024-02-27 00:48:01.380239 writeLog== | k线完结,{'e': 'kline', 'E': 1708966081297, 's': 'ARPAUSDT', 'k': {'t': 1708966020000, 'T': 1708966079999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082537, 'L': 168082604, 'o': '0.06830', 'c': '0.06827', 'h': '0.06833', 'l': '0.06827', 'v': '77420', 'n': 68, 'x': True, 'q': '5287.48252', 'V': '20734', 'Q': '1416.29531', 'B': '0'}}
== 2024-02-27 00:49:03.038527 writeLog== | k线完结,{'e': 'kline', 'E': 1708966143000, 's': 'ARPAUSDT', 'k': {'t': 1708966080000, 'T': 1708966139999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082605, 'L': 168082634, 'o': '0.06827', 'c': '0.06828', 'h': '0.06828', 'l': '0.06824', 'v': '20502', 'n': 30, 'x': True, 'q': '1399.53394', 'V': '5317', 'Q': '362.95334', 'B': '0'}}
== 2024-02-27 00:50:02.629112 writeLog== | k线完结,{'e': 'kline', 'E': 1708966202606, 's': 'ARPAUSDT', 'k': {'t': 1708966140000, 'T': 1708966199999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082635, 'L': 168082700, 'o': '0.06826', 'c': '0.06827', 'h': '0.06828', 'l': '0.06824', 'v': '75064', 'n': 66, 'x': True, 'q': '5124.50205', 'V': '70515', 'Q': '4814.01538', 'B': '0'}}
== 2024-02-27 00:51:03.027783 writeLog== | k线完结,{'e': 'kline', 'E': 1708966263001, 's': 'ARPAUSDT', 'k': {'t': 1708966200000, 'T': 1708966259999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082701, 'L': 168082784, 'o': '0.06826', 'c': '0.06824', 'h': '0.06832', 'l': '0.06823', 'v': '65699', 'n': 84, 'x': True, 'q': '4486.18130', 'V': '37922', 'Q': '2589.99102', 'B': '0'}}
== 2024-02-27 00:52:02.348627 writeLog== | k线完结,{'e': 'kline', 'E': 1708966322286, 's': 'ARPAUSDT', 'k': {'t': 1708966260000, 'T': 1708966319999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082785, 'L': 168082838, 'o': '0.06824', 'c': '0.06823', 'h': '0.06824', 'l': '0.06822', 'v': '78286', 'n': 54, 'x': True, 'q': '5341.58975', 'V': '22765', 'Q': '1553.42562', 'B': '0'}}
== 2024-02-27 00:53:03.036928 writeLog== | k线完结,{'e': 'kline', 'E': 1708966383001, 's': 'ARPAUSDT', 'k': {'t': 1708966320000, 'T': 1708966379999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082839, 'L': 168082894, 'o': '0.06823', 'c': '0.06821', 'h': '0.06826', 'l': '0.06818', 'v': '56519', 'n': 56, 'x': True, 'q': '3856.64263', 'V': '29166', 'Q': '1990.17683', 'B': '0'}}
== 2024-02-27 00:54:01.793745 writeLog== | k线完结,{'e': 'kline', 'E': 1708966441736, 's': 'ARPAUSDT', 'k': {'t': 1708966380000, 'T': 1708966439999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082895, 'L': 168082954, 'o': '0.06822', 'c': '0.06827', 'h': '0.06828', 'l': '0.06821', 'v': '60373', 'n': 60, 'x': True, 'q': '4119.57093', 'V': '34118', 'Q': '2328.57896', 'B': '0'}}
== 2024-02-27 00:55:03.025680 writeLog== | k线完结,{'e': 'kline', 'E': 1708966503000, 's': 'ARPAUSDT', 'k': {'t': 1708966440000, 'T': 1708966499999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082955, 'L': 168082989, 'o': '0.06826', 'c': '0.06829', 'h': '0.06829', 'l': '0.06825', 'v': '18204', 'n': 35, 'x': True, 'q': '1242.72649', 'V': '4568', 'Q': '311.90821', 'B': '0'}}
== 2024-02-27 00:56:03.040839 writeLog== | k线完结,{'e': 'kline', 'E': 1708966563000, 's': 'ARPAUSDT', 'k': {'t': 1708966500000, 'T': 1708966559999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168082990, 'L': 168083050, 'o': '0.06828', 'c': '0.06834', 'h': '0.06835', 'l': '0.06827', 'v': '53416', 'n': 61, 'x': True, 'q': '3649.12474', 'V': '42714', 'Q': '2918.34306', 'B': '0'}}
== 2024-02-27 00:57:03.029188 writeLog== | k线完结,{'e': 'kline', 'E': 1708966623000, 's': 'ARPAUSDT', 'k': {'t': 1708966560000, 'T': 1708966619999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083051, 'L': 168083151, 'o': '0.06832', 'c': '0.06838', 'h': '0.06838', 'l': '0.06828', 'v': '215739', 'n': 101, 'x': True, 'q': '14744.60423', 'V': '180175', 'Q': '12315.41489', 'B': '0'}}
== 2024-02-27 00:58:03.031273 writeLog== | k线完结,{'e': 'kline', 'E': 1708966683001, 's': 'ARPAUSDT', 'k': {'t': 1708966620000, 'T': 1708966679999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083152, 'L': 168083212, 'o': '0.06838', 'c': '0.06831', 'h': '0.06838', 'l': '0.06831', 'v': '61772', 'n': 61, 'x': True, 'q': '4222.34242', 'V': '28983', 'Q': '1981.37421', 'B': '0'}}
== 2024-02-27 00:59:01.744965 writeLog== | k线完结,{'e': 'kline', 'E': 1708966741707, 's': 'ARPAUSDT', 'k': {'t': 1708966680000, 'T': 1708966739999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083213, 'L': 168083272, 'o': '0.06829', 'c': '0.06834', 'h': '0.06835', 'l': '0.06829', 'v': '59614', 'n': 60, 'x': True, 'q': '4073.37827', 'V': '42676', 'Q': '2916.32490', 'B': '0'}}
== 2024-02-27 01:00:02.365528 writeLog== | k线完结,{'e': 'kline', 'E': 1708966802201, 's': 'ARPAUSDT', 'k': {'t': 1708966740000, 'T': 1708966799999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083273, 'L': 168083328, 'o': '0.06832', 'c': '0.06830', 'h': '0.06834', 'l': '0.06827', 'v': '46787', 'n': 56, 'x': True, 'q': '3195.09654', 'V': '9023', 'Q': '616.39422', 'B': '0'}}
== 2024-02-27 01:01:00.239000 writeLog== | k线完结,{'e': 'kline', 'E': 1708966860215, 's': 'ARPAUSDT', 'k': {'t': 1708966800000, 'T': 1708966859999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083329, 'L': 168083467, 'o': '0.06828', 'c': '0.06827', 'h': '0.06831', 'l': '0.06824', 'v': '129811', 'n': 139, 'x': True, 'q': '8863.23955', 'V': '63082', 'Q': '4308.00074', 'B': '0'}}
== 2024-02-27 01:01:02.684227 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708966862683, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-27 01:02:00.664933 writeLog== | k线完结,{'e': 'kline', 'E': 1708966920553, 's': 'ARPAUSDT', 'k': {'t': 1708966860000, 'T': 1708966919999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083468, 'L': 168083572, 'o': '0.06826', 'c': '0.06831', 'h': '0.06833', 'l': '0.06826', 'v': '94688', 'n': 105, 'x': True, 'q': '6467.56499', 'V': '65238', 'Q': '4456.00772', 'B': '0'}}
== 2024-02-27 01:03:00.193021 writeLog== | k线完结,{'e': 'kline', 'E': 1708966980146, 's': 'ARPAUSDT', 'k': {'t': 1708966920000, 'T': 1708966979999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083573, 'L': 168083683, 'o': '0.06830', 'c': '0.06824', 'h': '0.06833', 'l': '0.06823', 'v': '63154', 'n': 111, 'x': True, 'q': '4312.81650', 'V': '41383', 'Q': '2826.39657', 'B': '0'}}
== 2024-02-27 01:03:04.256156 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708966984255, 'code': -1, 'info': {'code': '40009', 'msg': 'sign签名错误', 'requestTime': 1708966984225, 'data': None}}, 'extra': None}
== 2024-02-27 01:04:02.778798 writeLog== | k线完结,{'e': 'kline', 'E': 1708967042753, 's': 'ARPAUSDT', 'k': {'t': 1708966980000, 'T': 1708967039999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083684, 'L': 168083826, 'o': '0.06823', 'c': '0.06814', 'h': '0.06823', 'l': '0.06812', 'v': '137248', 'n': 143, 'x': True, 'q': '9356.04620', 'V': '41603', 'Q': '2836.46980', 'B': '0'}}
== 2024-02-27 01:05:03.033112 writeLog== | k线完结,{'e': 'kline', 'E': 1708967103001, 's': 'ARPAUSDT', 'k': {'t': 1708967040000, 'T': 1708967099999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083827, 'L': 168083988, 'o': '0.06814', 'c': '0.06830', 'h': '0.06834', 'l': '0.06814', 'v': '183423', 'n': 162, 'x': True, 'q': '12516.91928', 'V': '132087', 'Q': '9015.80371', 'B': '0'}}
== 2024-02-27 01:06:03.064405 writeLog== | k线完结,{'e': 'kline', 'E': 1708967163001, 's': 'ARPAUSDT', 'k': {'t': 1708967100000, 'T': 1708967159999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168083989, 'L': 168084110, 'o': '0.06830', 'c': '0.06831', 'h': '0.06840', 'l': '0.06830', 'v': '247858', 'n': 122, 'x': True, 'q': '16941.29961', 'V': '153741', 'Q': '10509.85334', 'B': '0'}}
== 2024-02-27 01:07:03.030505 writeLog== | k线完结,{'e': 'kline', 'E': 1708967223000, 's': 'ARPAUSDT', 'k': {'t': 1708967160000, 'T': 1708967219999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084111, 'L': 168084184, 'o': '0.06832', 'c': '0.06830', 'h': '0.06836', 'l': '0.06830', 'v': '57849', 'n': 74, 'x': True, 'q': '3953.34888', 'V': '40977', 'Q': '2800.58951', 'B': '0'}}
== 2024-02-27 01:08:03.038453 writeLog== | k线完结,{'e': 'kline', 'E': 1708967283000, 's': 'ARPAUSDT', 'k': {'t': 1708967220000, 'T': 1708967279999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084185, 'L': 168084241, 'o': '0.06829', 'c': '0.06830', 'h': '0.06834', 'l': '0.06826', 'v': '32450', 'n': 57, 'x': True, 'q': '2216.46855', 'V': '12624', 'Q': '862.32484', 'B': '0'}}
== 2024-02-27 01:09:00.896800 writeLog== | k线完结,{'e': 'kline', 'E': 1708967340872, 's': 'ARPAUSDT', 'k': {'t': 1708967280000, 'T': 1708967339999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084242, 'L': 168084309, 'o': '0.06830', 'c': '0.06831', 'h': '0.06832', 'l': '0.06828', 'v': '73599', 'n': 68, 'x': True, 'q': '5026.77361', 'V': '12249', 'Q': '836.67982', 'B': '0'}}
== 2024-02-27 01:10:01.554236 writeLog== | k线完结,{'e': 'kline', 'E': 1708967401404, 's': 'ARPAUSDT', 'k': {'t': 1708967340000, 'T': 1708967399999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084310, 'L': 168084396, 'o': '0.06832', 'c': '0.06834', 'h': '0.06836', 'l': '0.06829', 'v': '148929', 'n': 87, 'x': True, 'q': '10177.54779', 'V': '113427', 'Q': '7751.53874', 'B': '0'}}
== 2024-02-27 01:11:02.058741 writeLog== | k线完结,{'e': 'kline', 'E': 1708967461997, 's': 'ARPAUSDT', 'k': {'t': 1708967400000, 'T': 1708967459999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084397, 'L': 168084488, 'o': '0.06834', 'c': '0.06837', 'h': '0.06840', 'l': '0.06830', 'v': '94809', 'n': 92, 'x': True, 'q': '6481.47752', 'V': '24949', 'Q': '1705.95605', 'B': '0'}}
== 2024-02-27 01:12:00.095539 writeLog== | k线完结,{'e': 'kline', 'E': 1708967520035, 's': 'ARPAUSDT', 'k': {'t': 1708967460000, 'T': 1708967519999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084489, 'L': 168084632, 'o': '0.06839', 'c': '0.06854', 'h': '0.06854', 'l': '0.06839', 'v': '244161', 'n': 144, 'x': True, 'q': '16720.92208', 'V': '172086', 'Q': '11786.02364', 'B': '0'}}
== 2024-02-27 01:13:00.227108 writeLog== | k线完结,{'e': 'kline', 'E': 1708967580158, 's': 'ARPAUSDT', 'k': {'t': 1708967520000, 'T': 1708967579999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084633, 'L': 168084847, 'o': '0.06854', 'c': '0.06851', 'h': '0.06863', 'l': '0.06851', 'v': '234888', 'n': 215, 'x': True, 'q': '16106.49627', 'V': '155362', 'Q': '10655.09158', 'B': '0'}}
== 2024-02-27 01:14:03.082602 writeLog== | k线完结,{'e': 'kline', 'E': 1708967643000, 's': 'ARPAUSDT', 'k': {'t': 1708967580000, 'T': 1708967639999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084848, 'L': 168084960, 'o': '0.06850', 'c': '0.06851', 'h': '0.06851', 'l': '0.06846', 'v': '281353', 'n': 113, 'x': True, 'q': '19271.64579', 'V': '37517', 'Q': '2569.57246', 'B': '0'}}
== 2024-02-27 01:15:03.070785 writeLog== | k线完结,{'e': 'kline', 'E': 1708967703000, 's': 'ARPAUSDT', 'k': {'t': 1708967640000, 'T': 1708967699999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168084961, 'L': 168085044, 'o': '0.06853', 'c': '0.06856', 'h': '0.06857', 'l': '0.06853', 'v': '80676', 'n': 84, 'x': True, 'q': '5530.30072', 'V': '40118', 'Q': '2750.18871', 'B': '0'}}
== 2024-02-27 01:16:03.068275 writeLog== | k线完结,{'e': 'kline', 'E': 1708967763000, 's': 'ARPAUSDT', 'k': {'t': 1708967700000, 'T': 1708967759999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085045, 'L': 168085098, 'o': '0.06856', 'c': '0.06857', 'h': '0.06860', 'l': '0.06855', 'v': '34627', 'n': 54, 'x': True, 'q': '2374.59187', 'V': '31794', 'Q': '2180.35303', 'B': '0'}}
== 2024-02-27 01:17:02.447943 writeLog== | k线完结,{'e': 'kline', 'E': 1708967822410, 's': 'ARPAUSDT', 'k': {'t': 1708967760000, 'T': 1708967819999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085099, 'L': 168085190, 'o': '0.06858', 'c': '0.06863', 'h': '0.06865', 'l': '0.06858', 'v': '60565', 'n': 92, 'x': True, 'q': '4156.14340', 'V': '36507', 'Q': '2505.03743', 'B': '0'}}
== 2024-02-27 01:18:00.795122 writeLog== | k线完结,{'e': 'kline', 'E': 1708967880729, 's': 'ARPAUSDT', 'k': {'t': 1708967820000, 'T': 1708967879999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085191, 'L': 168085296, 'o': '0.06864', 'c': '0.06873', 'h': '0.06873', 'l': '0.06862', 'v': '102209', 'n': 106, 'x': True, 'q': '7017.80181', 'V': '78833', 'Q': '5412.90291', 'B': '0'}}
== 2024-02-27 01:19:00.184265 writeLog== | k线完结,{'e': 'kline', 'E': 1708967940163, 's': 'ARPAUSDT', 'k': {'t': 1708967880000, 'T': 1708967939999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085297, 'L': 168085411, 'o': '0.06873', 'c': '0.06861', 'h': '0.06873', 'l': '0.06860', 'v': '116488', 'n': 115, 'x': True, 'q': '7996.03405', 'V': '8968', 'Q': '616.29525', 'B': '0'}}
== 2024-02-27 01:20:01.835282 writeLog== | k线完结,{'e': 'kline', 'E': 1708968001806, 's': 'ARPAUSDT', 'k': {'t': 1708967940000, 'T': 1708967999999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085412, 'L': 168085508, 'o': '0.06859', 'c': '0.06853', 'h': '0.06859', 'l': '0.06852', 'v': '44321', 'n': 97, 'x': True, 'q': '3038.13462', 'V': '10574', 'Q': '724.89712', 'B': '0'}}
== 2024-02-27 01:21:01.914249 writeLog== | k线完结,{'e': 'kline', 'E': 1708968061878, 's': 'ARPAUSDT', 'k': {'t': 1708968000000, 'T': 1708968059999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085509, 'L': 168085585, 'o': '0.06854', 'c': '0.06857', 'h': '0.06858', 'l': '0.06853', 'v': '39933', 'n': 77, 'x': True, 'q': '2737.61866', 'V': '22679', 'Q': '1554.78382', 'B': '0'}}
== 2024-02-27 01:22:02.218938 writeLog== | k线完结,{'e': 'kline', 'E': 1708968122152, 's': 'ARPAUSDT', 'k': {'t': 1708968060000, 'T': 1708968119999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085586, 'L': 168085672, 'o': '0.06857', 'c': '0.06853', 'h': '0.06861', 'l': '0.06853', 'v': '98064', 'n': 87, 'x': True, 'q': '6724.27009', 'V': '61172', 'Q': '4194.84037', 'B': '0'}}
== 2024-02-27 01:22:15.293703 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708968135293, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-27 01:23:00.428765 writeLog== | k线完结,{'e': 'kline', 'E': 1708968180344, 's': 'ARPAUSDT', 'k': {'t': 1708968120000, 'T': 1708968179999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085673, 'L': 168085899, 'o': '0.06851', 'c': '0.06828', 'h': '0.06851', 'l': '0.06826', 'v': '492620', 'n': 227, 'x': True, 'q': '33660.73798', 'V': '199067', 'Q': '13591.24242', 'B': '0'}}
== 2024-02-27 01:24:00.853449 writeLog== | k线完结,{'e': 'kline', 'E': 1708968240779, 's': 'ARPAUSDT', 'k': {'t': 1708968180000, 'T': 1708968239999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085900, 'L': 168085996, 'o': '0.06828', 'c': '0.06824', 'h': '0.06834', 'l': '0.06823', 'v': '113571', 'n': 97, 'x': True, 'q': '7754.20773', 'V': '25890', 'Q': '1767.86369', 'B': '0'}}
== 2024-02-27 01:25:01.680296 writeLog== | k线完结,{'e': 'kline', 'E': 1708968301483, 's': 'ARPAUSDT', 'k': {'t': 1708968240000, 'T': 1708968299999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168085997, 'L': 168086053, 'o': '0.06824', 'c': '0.06826', 'h': '0.06831', 'l': '0.06824', 'v': '50304', 'n': 57, 'x': True, 'q': '3434.52616', 'V': '11235', 'Q': '766.90845', 'B': '0'}}
== 2024-02-27 01:26:02.192414 writeLog== | k线完结,{'e': 'kline', 'E': 1708968362150, 's': 'ARPAUSDT', 'k': {'t': 1708968300000, 'T': 1708968359999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086054, 'L': 168086156, 'o': '0.06830', 'c': '0.06826', 'h': '0.06835', 'l': '0.06825', 'v': '98827', 'n': 103, 'x': True, 'q': '6751.42454', 'V': '74682', 'Q': '5102.37134', 'B': '0'}}
== 2024-02-27 01:27:02.084990 writeLog== | k线完结,{'e': 'kline', 'E': 1708968421765, 's': 'ARPAUSDT', 'k': {'t': 1708968360000, 'T': 1708968419999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086157, 'L': 168086200, 'o': '0.06828', 'c': '0.06822', 'h': '0.06830', 'l': '0.06822', 'v': '25204', 'n': 44, 'x': True, 'q': '1720.58469', 'V': '9936', 'Q': '678.23743', 'B': '0'}}
== 2024-02-27 01:27:18.642767 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708968438642, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-27 01:28:03.056618 writeLog== | k线完结,{'e': 'kline', 'E': 1708968483000, 's': 'ARPAUSDT', 'k': {'t': 1708968420000, 'T': 1708968479999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086201, 'L': 168086352, 'o': '0.06820', 'c': '0.06820', 'h': '0.06822', 'l': '0.06815', 'v': '229093', 'n': 152, 'x': True, 'q': '15621.23673', 'V': '34690', 'Q': '2365.75817', 'B': '0'}}
== 2024-02-27 01:29:02.085512 writeLog== | k线完结,{'e': 'kline', 'E': 1708968541925, 's': 'ARPAUSDT', 'k': {'t': 1708968480000, 'T': 1708968539999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086353, 'L': 168086480, 'o': '0.06820', 'c': '0.06819', 'h': '0.06825', 'l': '0.06818', 'v': '85299', 'n': 128, 'x': True, 'q': '5819.16168', 'V': '75962', 'Q': '5182.38534', 'B': '0'}}
== 2024-02-27 01:30:00.521225 writeLog== | k线完结,{'e': 'kline', 'E': 1708968600384, 's': 'ARPAUSDT', 'k': {'t': 1708968540000, 'T': 1708968599999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086481, 'L': 168086577, 'o': '0.06817', 'c': '0.06820', 'h': '0.06823', 'l': '0.06815', 'v': '159154', 'n': 97, 'x': True, 'q': '10855.41674', 'V': '120594', 'Q': '8226.26579', 'B': '0'}}
== 2024-02-27 01:31:02.744452 writeLog== | k线完结,{'e': 'kline', 'E': 1708968662611, 's': 'ARPAUSDT', 'k': {'t': 1708968600000, 'T': 1708968659999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086578, 'L': 168086652, 'o': '0.06821', 'c': '0.06832', 'h': '0.06835', 'l': '0.06821', 'v': '72512', 'n': 75, 'x': True, 'q': '4951.85150', 'V': '44740', 'Q': '3054.22074', 'B': '0'}}
== 2024-02-27 01:32:01.770139 writeLog== | k线完结,{'e': 'kline', 'E': 1708968721743, 's': 'ARPAUSDT', 'k': {'t': 1708968660000, 'T': 1708968719999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086653, 'L': 168086750, 'o': '0.06831', 'c': '0.06839', 'h': '0.06841', 'l': '0.06831', 'v': '148873', 'n': 98, 'x': True, 'q': '10179.03687', 'V': '125165', 'Q': '8558.67495', 'B': '0'}}
== 2024-02-27 01:33:03.117393 writeLog== | k线完结,{'e': 'kline', 'E': 1708968783000, 's': 'ARPAUSDT', 'k': {'t': 1708968720000, 'T': 1708968779999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168086751, 'L': 168086833, 'o': '0.06837', 'c': '0.06844', 'h': '0.06845', 'l': '0.06836', 'v': '188231', 'n': 83, 'x': True, 'q': '12878.11366', 'V': '171430', 'Q': '11729.19850', 'B': '0'}}
